id,kode,nama,fakultas,gambar,deskripsi,created_at,updated_at
11,FLD005,Studio Perancangan Arsitektur,Seni & Desain,https://www.umn.ac.id/wp-content/uploads/2016/02/studioperancanganarsitektur-FC-UMN-cover-1024x576.jpg,"Studio ini merupakan ruang kerja bagi mahasiswa program studi Arsitektur. Yang membedakannya dari universitas lain adalah studio ini dapat digunakan setiap hari selama 24 jam, sehingga mahasiswa dapat menggambar, membuat maket, merancang bangunan, dan berdiskusi dengan aman dan nyaman.",1573897896033,1573897896033
12,FLD006,Sound Lab,Seni & Desain,https://www.umn.ac.id/wp-content/uploads/2016/02/soundlabFC.jpg,"Untuk menghasilkan audio berkualitas tinggi sesuai dengan standar industri, UMN memfasilitasi mahasiswanya dengan berbagai peralatan dan software terkini yang menunjang pembuatan audio dengan segala efeknya. Karena kebutuhan yang tinggi, UMN sudah memiliki dua ruang sound lab dengan kapasitas besar. Sound lab terdiri dari satu ruang utama dan empat ruang penunjang kedap suara terpisah di mana mahasiswa dapat melakukan proses dubbing dan mixing.",1573897900968,1573897900968
13,FLB001,Food and Beverages (FnB) Lab,Bisnis,https://www.umn.ac.id/wp-content/uploads/2016/02/Fnb.jpg,"Laboratorium ini memiliki fasilitas restoran, meja dan kursi bar, meja banquet, chilller, dan peralatan juggling minuman. Mahasiswa perhotelan UMN akan diberikan pembelajaran mulai dari cara menata meja, melipat napkin, meracik minuman, hingga menjamu tamu hotel.",1573897905905,1573897905905
14,FLB002,Kitchen Lab,Bisnis,https://www.umn.ac.id/wp-content/uploads/2016/02/kitchen-lab.jpg,"Laboratorium ini terdiri dari lima area. Main Kitchen digunakan untuk membuat appetizer (makanan terbuka), soup dan main course (makanan utama). Pastry Kitchen digunakan untuk membuat dessert (makanan penutup). Bakery Kitchen digunakan untuk membuat berbagai macam roti. Dish Washing Area untuk membersihkan peralatan makan. Serving Area (Cold Kitchen) untuk menjaga kesterilan bahan makanan. Fasilitas lain yang tersedia adalah kompor, kulkas, chiller, mixer, dan peralatan masak lainnya.",1573897910841,1573897910841
15,FLB003,House Keeping Lab,Bisnis,https://www.umn.ac.id/wp-content/uploads/2016/02/housekeepinglab.jpg,"Dengan suasana kamar ala hotel bintang lima, house keeping lab memiliki dua tipe kamar simulasi (mock room), yakni VIP room dan regular room. Dengan dilengkapi alat pembersih elektronik dan manual, mahasiswa perhotelan UMN akan dibekali dengan pembelajaran membersihkan area di dalam kamar hotel.",1573897918246,1573897918246
16,FLB004,Front Office Lab,Bisnis,https://www.umn.ac.id/wp-content/uploads/2016/02/FrontOfficeLab.jpg,"Laboratorium ini terdiri dari front office dan back office. Di lab ini, mahasiswa perhotelan UMN akan belajar bagaimana cara melakukan check-in dan check-out, menawarkan bantuan kepada tamu hotel dan menangani tamu-tamu penting.",1573897923180,1573897923180
17,FLT001,Lab Game Development,Teknik & Informatika,https://www.umn.ac.id/wp-content/uploads/2016/02/game-dev-lab2.jpg,"Laboratorium ini digunakan untuk pengembangan game berbasis mobile dan desktop. Untuk meningkatkan interaktivitas hasil karya mahasiswa, UMN menyediakan perangkat input berbasis sensor pengenal gerakan tangan (Leap Motion), gerakan seluruh tubuh (Kinect V2) dan device head-mount VR headset (Occulus Rift) yang dilengkapi dengan teknologi hand-tracking device. Tidak hanya memiliki teknologi hardware yang mendukung, lab ini juga memiliki software pengembangan konten permainan digital, seperti game engine, sound and graphics editing software.",1573897928117,1573897928117
18,FLT002,Manajemen Jaringan Lab,Teknik & Informatika,https://www.umn.ac.id/wp-content/uploads/2016/02/manajemen-jaringan-lab.jpg,"Dengan menggunakan perangkat resmi dari Huawei, laboratorium ini digunakan mahasiswa untuk mempelajari tata kelola infrastruktur jaringan. Selain itu, sebagai satu-satunya Redhat Academy yang aktif, UMN juga melatih mahasiswa untuk mengkonfigurasi layanan jaringan, seperti web service, email service dan service lainnya yang berada di platform Linux. Prodi Teknik Komputer UMN merupakan satu-satunya Redhat Academy yang aktif di Indonesia.",1573897931868,1573897931868
19,FLT003,Lab Big Data,Teknik & Informatika,https://www.umn.ac.id/wp-content/uploads/2016/02/lab-big-data.jpg,"Laboratorium ini digunakan untuk kegiatan penelitian dan analisis maha data. Fasilitas yang tersedia mencakup high performance computing server, workstation berbasis linux, microsoft dan mac, serta monitor display.",1573897936755,1573897936755
20,FLT004,Applied Network Computer lab,Teknik & Informatika,https://www.umn.ac.id/wp-content/uploads/2016/02/appliednetworklab.jpg,"Di laboratorium ini, mahasiswa dapat mempelajari rooting dan switching pada jaringan komputer mulai dari skala kecil (LAN) hingga skala menengah (ISP). Perangkat rooting dan switching di laboratorium ini secara resmi difasilitasi oleh Cisco. Sedangkat, perangkat firewall difasilitasi oleh Huawei. Prodi Teknik Komputer UMN merupakan Huawei Authorized Information & Network Academy yang pertama dan satu-satunya di Indonesia.",1573897941691,1573897941691
21,FLT005,Artificial Intelligence (AI) Lab,Teknik & Informatika,https://www.umn.ac.id/wp-content/uploads/2016/02/Lab-AI.jpg,"Laboratorium ini merupakan kerjasama UMN dengan RIIxGRID Jepang. Server dapat diakses tanpa batas dan memfasilitasi komputasi untuk pembelajaran machine learning dan deep learning. Dilengkapi dengan ruang Image Processing, Voice Identification dan ruang diskusi, mahasiswa UMN dilatih menjadi tenaga ahli Data Scientist yang siap bekerja di industri teknologi terdepan.",1573897946627,1573897946627
22,FLT006,Certified Ethical Hacker Lab,Teknik & Informatika,https://www.umn.ac.id/wp-content/uploads/2016/02/Certified-Ethical-Hacker-Lab.jpg,"Dilengkapi dengan Firewall Cisco, Switch Cisco, Anti Malware, PC, dan laptop, mahasiswa UMN akan dibekali bagaimana cara hacker bekerja. Hal ini ditujukan supaya jaringan kita terjaga keamanannya, sehingga tidak dapat di-hack.",1573897951563,1573897951563
23,FLU001,Skystar Venture (Inkubator Bisnis),Umum,https://www.umn.ac.id/wp-content/uploads/2016/02/skystar-FC-UMN-cover-1024x576.jpg,"Skystar Ventures merupakan wadah wirausaha yang didirikan oleh UMN dan didukung oleh Kompas Gramedia Group. Terakreditasi sebagai inkubator terbaik di Indonesia dari Kemenristekdikti, Skystar Ventures memiliki tujuan untuk mendorong pertumbuhan ekosistem start-up yang kolaboratif di Indonesia melalui tiga pilar utama, yaitu Incubator Program, Coworking Space dan Venture Capital.",1573897956499,1573897956499
24,FLU002,International Center,Umum,https://www.umn.ac.id/wp-content/uploads/2016/02/Internatioanl-center.jpg,"Ruangan ini menjadi tempat diskusi untuk melakukan kerjasama antara UMN dengan Universitas Luar Negeri. Kerjasama tersebut meliputi pertukaran mahasiswa, penandatanganan MoU (Memorandum of Understanding), penandatanganan MoA (Memorandum of Acceptment), kebutuhan joint research, dan beasiswa dosen untuk studi lanjut S3. Di ruangan ini juga tersedia buku-buku pedoman untuk mahasiswa yang ingin pergi studi lanjut ke luar negeri.",1573897960202,1573897960202
25,FLU003,Library,Umum,https://www.umn.ac.id/wp-content/uploads/2016/02/library2.jpg,"Dengan desain interior yang modern, puluhan ribu koleksi bacaan lokal dan internasional bisa ditemukan di Perpustakaan UMN. Di sini juga tersedia layanan koleksi digital, seperti e-journal, e-library, layanan skripsi digital, dan lainnya. Untuk memudahkan sivitas akademika UMN dalam mendapatkan referensi riset terbaru, perpustakaan UMN berlangganan e-journal Emerald dan Proquest, serta mendapatkan free access jurnal SAGE & Wiley dari perpustakaan Kemendikbud dan Perpustakaan Nasional RI. Ke depannya, perpustakaan UMN akan menambah layanan pengecekan plagiarism.",1573897997221,1573897997221
26,FLU004,Lecture Theatre PK Ojong - jakob Oetama Tower,Umum,https://www.umn.ac.id/wp-content/uploads/2016/02/lecturetheatrePK.jpg,"Dengan kapasitas yang lebih besar, yakni dapat menampung hingga 500 orang, berbagai kegiatan seperti seminar, workshop, perkuliahan dengan dosen tamu, dan pertunjukan UKM (Unit Kegiatan Mahasiswa) ditampilkan di ruang teater ini.",1573898006104,1573898006104
27,FLU005,Lecture Theatre New Media Tower,Umum,https://www.umn.ac.id/wp-content/uploads/2016/02/LectureTheatreNewMediaTower.jpg,"Ruang teater yang modern ini memiliki kapasitas hingga 200 orang. Ruangan ini sering digunakan untuk seminar, workshop, perkuliahan dengan dosen tamu, dan pertunjukan UKM (Unit Kegiatan Mahasiswa).",1573898010811,1573898010811
28,FLU006,Sport Hall,Umum,https://www.umn.ac.id/wp-content/uploads/2016/02/sporthall-gdgC.jpg,"Mahasiswa UMN dapat menikmati fasilitas olahraga indoor yang terletak di lantai 23 Gedung PK Ojong–Jakob Oetama. Sport Hall menyediakan fasilitas lapangan badminton dan futsal, serta fitness centre yang masih dalam pembangunan.",1573898016965,1573898016965
29,FLU007,Medical Center,Umum,https://www.umn.ac.id/wp-content/uploads/2016/02/medical-center.jpg,"Medical Center terletak di beberapa area kampus untuk mempermudah pertolongan pertama bagi korban. Saat terjadi keadaan darurat medis, staf ahli UMN siap memberikan pertolongan pertama.",1573898021921,1573898021921
